Date,Description,Size,Price,Rating,Rting Cnt,Source
2021-12-01,"LG OLED C1 Series 65” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED65C1PUB, 2021)",65,2297.99,4.4 out of 5 stars,133,amazon.ca
2021-12-01,"LG OLED C1 Series 55” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED55C1PUB, 2021)",55,1697.99,4.6 out of 5 stars,156,amazon.ca
2021-12-01,"LG OLED65C1 65"" 4K Smart 120Hz OLED TV",65,2297.99,4.6 out of 5 stars,98,amazon.ca
2021-12-01,"LG 83"" OLED83C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",83,6999.99,n/a,0,canadacomputers
2021-12-01,"LG 55"" OLED55C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",55,1699.99,n/a,0,canadacomputers
2021-12-01,"LG 48"" OLED48C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",48,1499.99,n/a,0,canadacomputers
2021-12-01,"LG 65"" OLED65C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",65,2299.99,n/a,0,canadacomputers
2021-12-01,"LG 77"" OLED77C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",77,3999.99,n/a,0,canadacomputers
2021-12-01,"LG 48"" OLED48C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming(Open Box)",48,1349.99,n/a,0,canadacomputers
2021-12-02,"LG OLED C1 Series 55” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED55C1PUB, 2021)",55,1697.99,4.6 out of 5 stars,157,amazon.ca
2021-12-02,"LG OLED C1 Series 65” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED65C1PUB, 2021)",65,2297.99,4.4 out of 5 stars,133,amazon.ca
2021-12-02,"LG OLED77C1 77"" 4K Smart 120Hz OLED TV",77,3997.99,4.6 out of 5 stars,98,amazon.ca
2021-12-02,"LG OLED C1 Series 55” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED55C1PUB, 2021)",55,1697.99,4.6 out of 5 stars,157,amazon.ca
2021-12-02,"LG OLED C1 Series 65” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED65C1PUB, 2021)",65,2297.99,4.4 out of 5 stars,133,amazon.ca
2021-12-02,"LG OLED65C1 65"" 4K Smart 120Hz OLED TV",65,2297.99,4.6 out of 5 stars,98,amazon.ca
2021-12-02,"LG 83"" OLED83C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",83,6999.99,n/a,0,canadacomputers
2021-12-02,"LG 55"" OLED55C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",55,1699.99,n/a,0,canadacomputers
2021-12-02,"LG 48"" OLED48C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",48,1499.99,n/a,0,canadacomputers
2021-12-02,"LG 65"" OLED65C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",65,2299.99,n/a,0,canadacomputers
2021-12-02,"LG 77"" OLED77C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming",77,3999.99,n/a,0,canadacomputers
2021-12-02,"LG 48"" OLED48C1 a9 Gen 4 Processor Cinema HDR, Optimized for Gaming(Open Box)",48,1349.99,n/a,0,canadacomputers
2022-01-19,"LG OLED C1 Series 55” Alexa Built-in 4k Smart TV (3840 x 2160), 120Hz Refresh Rate, AI-Powered 4K, Dolby Cinema, WiSA Ready, Gaming Mode (OLED55C1PUB, 2021)",55,1797.99,4.6,254,amazon.ca
